step,loss
4710,0.149
4720,0.099
4730,0.122
4740,0.079
4750,0.082
4760,0.093
4770,0.08
4780,0.077
4790,0.074
4800,0.088
4810,0.084
4820,0.084
4830,0.111
4840,0.105
4850,0.085
4860,0.064
4870,0.098
4880,0.068
4890,0.084
4900,0.094
4910,0.112
4920,0.093
4930,0.145
4940,0.083
4950,0.073
4960,0.092
4970,0.097
4980,0.071
4990,0.076
5000,0.072
5010,0.152
5020,0.076
5030,0.093
5040,0.083
5050,0.083
5060,0.089
5070,0.085
5080,0.087
5090,0.123
5100,0.088
5110,0.065
5120,0.092
5130,0.07
5140,0.103
5150,0.092
5160,0.085
5170,0.072
5180,0.091
5190,0.09
5200,0.105
5210,0.109
5220,0.089
5230,0.078
5240,0.072
5250,0.088
5260,0.113
5270,0.097
5280,0.084
5290,0.086
5300,0.078
5310,0.117
5320,0.091
5330,0.109
5340,0.072
5350,0.089
5360,0.126
5370,0.069
5380,0.083
5390,0.118
5400,0.125
5410,0.111
5420,0.084
5430,0.102
5440,0.069
5450,0.115
5460,0.08
5470,0.11
5480,0.067
5490,0.1
5500,0.104
5510,0.078
5520,0.069
5530,0.077
5540,0.111
5550,0.089
5560,0.092
5570,0.081
5580,0.081
5590,0.072
5600,0.098
5610,0.075
5620,0.062
5630,0.088
5640,0.105
5650,0.081
5660,0.083
5670,0.075
5680,0.088
5690,0.148
5700,0.072
5710,0.07
5720,0.117
5730,0.081
5740,0.087
5750,0.115
5760,0.069
5770,0.077
5780,0.071
5790,0.067
5800,0.057
5810,0.169
5820,0.078
5830,0.074
5840,0.091
5850,0.074
5860,0.074
5870,0.081
5880,0.077
5890,0.088
5900,0.076
5910,0.064
5920,0.121
5930,0.079
5940,0.078
5950,0.095
5960,0.073
5970,0.091
5980,0.087
5990,0.128
6000,0.062
6010,0.08
6020,0.078
6030,0.078
6040,0.077
6050,0.062
6060,0.077
6070,0.071
6080,0.073
6090,0.095
6100,0.073
6110,0.073
6120,0.069
6130,0.086
6140,0.074
6150,0.072
6160,0.076
6170,0.074
6180,0.066
6190,0.082
6200,0.075
6210,0.076
6220,0.109
6230,0.066
6240,0.09
6250,0.102
6260,0.092
6270,0.075
6280,0.083
6290,0.06
6300,0.078
6310,0.141
6320,0.128
6330,0.078
6340,0.069
6350,0.071
6360,0.082
6370,0.093
6380,0.075
6390,0.135
6400,0.099
6410,0.073
6420,0.092
6430,0.106
6440,0.075
6450,0.064
6460,0.062
6470,0.111
6480,0.09
6490,0.081
6500,0.083
6510,0.076
6520,0.076
6530,0.078
6540,0.074
6550,0.067
6560,0.089
6570,0.064
6580,0.063
6590,0.077
6600,0.069
6610,0.096
6620,0.069
6630,0.066
6640,0.063
6650,0.093
6660,0.067
6670,0.087
6680,0.071
6690,0.08
6700,0.073
6710,0.074
6720,0.09
6730,0.106
6740,0.083
6750,0.07
6760,0.06
6770,0.091
6780,0.076
6790,0.075
6800,0.132
6810,0.098
6820,0.064
6830,0.061
6840,0.067
6850,0.076
6860,0.068
6870,0.059
6880,0.066
6890,0.081
6900,0.069
6910,0.073
6920,0.083
6930,0.072
6940,0.079
6950,0.094
6960,0.068
6970,0.069
6980,0.075
6990,0.079
7000,0.07
7010,0.078
7020,0.077
7030,0.069
7040,0.07
7050,0.07
7060,0.058
7070,0.123
7080,0.076
7090,0.099
7100,0.059
7110,0.075
7120,0.064
7130,0.065
7140,0.095
7150,0.059
7160,0.085
7170,0.069
7180,0.062
7190,0.048
7200,0.056
7210,0.076
7220,0.087
7230,0.089
7240,0.077
7250,0.056
7260,0.125
7270,0.067
7280,0.045
7290,0.075
7300,0.075
7310,0.091
7320,0.063
7330,0.077
7340,0.078
7350,0.109
7360,0.065
7370,0.062
7380,0.067
7390,0.07
7400,0.076
7410,0.086
7420,0.09
7430,0.124
7440,0.08
7450,0.072
7460,0.06
7470,0.13
7480,0.078
7490,0.068
7500,0.114
7510,0.084
7520,0.065
7530,0.114
7540,0.066
7550,0.088
7560,0.077
7570,0.093
7580,0.059
7590,0.085
7600,0.078
7610,0.073
7620,0.08
7630,0.091
7640,0.109
7650,0.064
7660,0.072
7670,0.093
7680,0.087
7690,0.081
7700,0.085
7710,0.08
7720,0.077
7730,0.074
7740,0.056
7750,0.084
7760,0.086
7770,0.075
7780,0.083
7790,0.063
7800,0.067
7810,0.096
7820,0.078
7830,0.058
7840,0.118
7850,0.06
7860,0.082
7870,0.07
7880,0.062
7890,0.082
7900,0.058
7910,0.062
7920,0.058
7930,0.071
7940,0.066
7950,0.075
7960,0.072
7970,0.074
7980,0.069
7990,0.079
8000,0.068
8010,0.064
8020,0.089
8030,0.12
8040,0.069
8050,0.076
8060,0.061
8070,0.117
8080,0.085
8090,0.074
8100,0.081
8110,0.062
8120,0.091
8130,0.074
8140,0.07
8150,0.079
8160,0.057
8170,0.071
8180,0.062
8190,0.077
8200,0.056
8210,0.061
8220,0.058
8230,0.06
8240,0.064
8250,0.065
8260,0.063
8270,0.054
8280,0.069
8290,0.053
8300,0.13
8310,0.074
8320,0.053
8330,0.071
8340,0.067
8350,0.072
8360,0.078
8370,0.056
8380,0.069
8390,0.067
8400,0.064
8410,0.065
8420,0.065
8430,0.115
8440,0.065
8450,0.076
8460,0.066
8470,0.066
8480,0.077
8490,0.078
8500,0.1
8510,0.071
8520,0.075
8530,0.081
8540,0.094
8550,0.067
8560,0.069
8570,0.07
8580,0.066
8590,0.106
8600,0.07
8610,0.068
8620,0.088
8630,0.06
8640,0.066
8650,0.067
8660,0.053
8670,0.069
8680,0.137
8690,0.052
8700,0.065
8710,0.078
8720,0.07
8730,0.057
8740,0.075
8750,0.082
8760,0.065
8770,0.104
8780,0.078
8790,0.071
8800,0.06
8810,0.083
8820,0.064
8830,0.078
8840,0.122
8850,0.068
8860,0.069
8870,0.061
8880,0.074
8890,0.081
8900,0.087
8910,0.076
8920,0.068
8930,0.113
8940,0.066
8950,0.074
8960,0.076
8970,0.073
8980,0.078
8990,0.066
9000,0.077
9010,0.065
9020,0.065
9030,0.052
9040,0.085
9050,0.089
9060,0.085
9070,0.057
9080,0.047
9090,0.056
9100,0.061
9110,0.061
9120,0.155
9130,0.079
9140,0.083
9150,0.066
9160,0.06
9170,0.084
9180,0.063
9190,0.071
9200,0.084
9210,0.076
9220,0.078
9230,0.069
9240,0.076
9250,0.061
9260,0.065
9270,0.073
9280,0.091
9290,0.096
9300,0.083
9310,0.051
9320,0.059
9330,0.071
9340,0.06
9350,0.087
9360,0.07
9370,0.075
9380,0.074
9390,0.072
9400,0.099
9410,0.057
9420,0.051
9430,0.064
9440,0.089
9450,0.079
9460,0.121
9470,0.067
9480,0.116
9490,0.07
9500,0.084
9510,0.083
9520,0.064
9530,0.073
9540,0.069
9550,0.09
9560,0.095
9570,0.06
9580,0.076
9590,0.075
9600,0.057
9610,0.066
9620,0.066
9630,0.098
9640,0.112
9650,0.072
9660,0.068
9670,0.099
9680,0.077
